id	date	milestone	description	num_envs	max_steps	duration_min	fps	best_reward	mean_reward_final	vram_gb	status	decision	notes
000	2026-04-11	M1	env_bootstrap	-	-	15	-	-	-	-	success	KEEP	pixi+pip Isaac Lab 2.3.2 on RTX 5090
001	2026-04-11	M1	grasp_cache_gen	16384	-	19	-	-	-	13.0	success	KEEP	50k grasps collected; scale_range=[0.5,0.5,1]
002	2026-04-11	M1	smoke_test_ppo	1024	100000	0.5	8150	2.69	-4.07	3.7	success	KEEP	fixed import_gym + termcolor + device mismatch
003	2026-04-11	M1	full_ppo_training	16384	300000000	91	54979	1130.05	1088.09	12.5	success	KEEP	300M steps; checkpoints at logs/debug/2026-04-11_21-50-19/stage1_nn/
004	2026-04-12	M1	eval_ours_stage1	256	-	0.7	-	1327.56	1272.79	3.2	success	KEEP	256 ep; 99.6% full-ep rate; median 1288.75
005	2026-04-12	M1	eval_pretrained_stage2	256	-	0.7	-	1168.48	1040.63	3.2	success	KEEP	256 ep; 100% full-ep rate; ProprioAdapt checkpoint
006	2026-04-12	M1	distill_stage2	16384	32000000	22	55600	992.39	970.25	12.8	success	KEEP	killed at 32M (plateau); stage2_nn/best.pth; trained mean 970, best 992
007	2026-04-12	M1	eval_ours_stage2	256	-	0.7	-	1221.92	1137.66	3.2	success	KEEP	256 ep; 100% full-ep rate; BEATS pretrained by 9.3%
008	2026-04-12	M1	grasp_cache_multiscale	16384	-	20	-	-	-	13.2	success	KEEP	50k grasps across 8 scales [0.4..0.6]; took longer than single-scale because harder to stabilize
009	2026-04-12	M1	full_ppo_multiscale	16384	300000000	94	51989	850.81	806.28	12.5	success	KEEP	300M steps multi-scale; ~25% lower reward than single-scale (harder task); logs/debug/2026-04-12_00-51-05
010	2026-04-12	M1	distill_stage2_multiscale	16384	1000000000	310	53795	190.33	186.34	12.5	partial	KEEP	--max_agent_steps ignored by ProprioAdapt; ran full 1e9 hardcoded; plateau at ~186 training (multi-scale distill much harder than single-scale)
011a	2026-04-12	M1	eval_ours_ms_stage1	256	-	0.7	-	1170.19	1064.64	3.2	success	KEEP	98.8% full-ep; beats pretrained stage-2
011b	2026-04-12	M1	eval_pretrained_ms	256	-	0.7	-	1188.03	950.38	3.2	success	KEEP	90.6% full-ep; baseline for multi-scale
011c	2026-04-12	M1	eval_ours_ms_stage2	256	-	0.7	-	1085.35	878.10	3.2	success	KEEP	92.2% full-ep; distill-gap visible vs pretrained (878 vs 950); higher stability (min 2.6 vs -4.4)
